codigo_rj;link_wiki
3300100;https://pt.wikipedia.org/wiki/Angra_dos_Reis
3300159;https://pt.wikipedia.org/wiki/Aperib%C3%A9
3300209;https://pt.wikipedia.org/wiki/Araruama
3300225;https://pt.wikipedia.org/wiki/Areal
3300233;https://pt.wikipedia.org/wiki/Arma%C3%A7%C3%A3o_dos_B%C3%BAzios
3300258;https://pt.wikipedia.org/wiki/Arraial_do_Cabo
3300308;https://pt.wikipedia.org/wiki/Barra_do_Pira%C3%AD
3300407;https://pt.wikipedia.org/wiki/Barra_Mansa
3300456;https://pt.wikipedia.org/wiki/Belford_Roxo
3300506;https://pt.wikipedia.org/wiki/Bom_Jardim_(Rio_de_Janeiro)
3300605;https://pt.wikipedia.org/wiki/Bom_Jesus_do_Itabapoana
3300704;https://pt.wikipedia.org/wiki/Cabo_Frio
3300803;https://pt.wikipedia.org/wiki/Cachoeiras_de_Macacu
3300902;https://pt.wikipedia.org/wiki/Cambuci
3301009;https://pt.wikipedia.org/wiki/Campos_dos_Goytacazes
3301108;https://pt.wikipedia.org/wiki/Cantagalo_(Rio_de_Janeiro)
3300936;https://pt.wikipedia.org/wiki/Carapebus
3301157;https://pt.wikipedia.org/wiki/Cardoso_Moreira
3301207;https://pt.wikipedia.org/wiki/Carmo_(Rio_de_Janeiro)
3301306;https://pt.wikipedia.org/wiki/Casimiro_de_Abreu_(Rio_de_Janeiro)
3300951;https://pt.wikipedia.org/wiki/Comendador_Levy_Gasparian
3301405;https://pt.wikipedia.org/wiki/Concei%C3%A7%C3%A3o_de_Macabu
3301504;https://pt.wikipedia.org/wiki/Cordeiro_(Rio_de_Janeiro)
3301603;https://pt.wikipedia.org/wiki/Duas_Barras
3301702;https://pt.wikipedia.org/wiki/Duque_de_Caxias_(Rio_de_Janeiro)
3301801;https://pt.wikipedia.org/wiki/Engenheiro_Paulo_de_Frontin
3301850;https://pt.wikipedia.org/wiki/Guapimirim
3301876;https://pt.wikipedia.org/wiki/Iguaba_Grande
3301900;https://pt.wikipedia.org/wiki/Itabora%C3%AD
3302007;https://pt.wikipedia.org/wiki/Itagua%C3%AD
3302056;https://pt.wikipedia.org/wiki/Italva
3302106;https://pt.wikipedia.org/wiki/Itaocara
3302205;https://pt.wikipedia.org/wiki/Itaperuna
3302254;https://pt.wikipedia.org/wiki/Itatiaia
3302270;https://pt.wikipedia.org/wiki/Japeri
3302304;https://pt.wikipedia.org/wiki/Laje_do_Muria%C3%A9
3302403;https://pt.wikipedia.org/wiki/Maca%C3%A9
3302452;https://pt.wikipedia.org/wiki/Macuco_(Rio_de_Janeiro)
3302502;https://pt.wikipedia.org/wiki/Mag%C3%A9
3302601;https://pt.wikipedia.org/wiki/Mangaratiba
3302700;https://pt.wikipedia.org/wiki/Maric%C3%A1
3302809;https://pt.wikipedia.org/wiki/Mendes
3302858;https://pt.wikipedia.org/wiki/Mesquita_(Rio_de_Janeiro)
3302908;https://pt.wikipedia.org/wiki/Miguel_Pereira
3303005;https://pt.wikipedia.org/wiki/Miracema
3303104;https://pt.wikipedia.org/wiki/Natividade_(Rio_de_Janeiro)
3303203;https://pt.wikipedia.org/wiki/Nil%C3%B3polis
3303302;https://pt.wikipedia.org/wiki/Niter%C3%B3i
3303401;https://pt.wikipedia.org/wiki/Nova_Friburgo
3303500;https://pt.wikipedia.org/wiki/Nova_Igua%C3%A7u
3303609;https://pt.wikipedia.org/wiki/Paracambi
3303708;https://pt.wikipedia.org/wiki/Para%C3%ADba_do_Sul
3303807;https://pt.wikipedia.org/wiki/Paraty
3303856;https://pt.wikipedia.org/wiki/Paty_do_Alferes
3303906;https://pt.wikipedia.org/wiki/Petr%C3%B3polis
3303955;https://pt.wikipedia.org/wiki/Pinheiral
3304003;https://pt.wikipedia.org/wiki/Pira%C3%AD
3304102;https://pt.wikipedia.org/wiki/Porci%C3%BAncula
3304110;https://pt.wikipedia.org/wiki/Porto_Real
3304128;https://pt.wikipedia.org/wiki/Quatis
3304144;https://pt.wikipedia.org/wiki/Queimados
3304151;https://pt.wikipedia.org/wiki/Quissam%C3%A3
3304201;https://pt.wikipedia.org/wiki/Resende_(Rio_de_Janeiro)
3304300;https://pt.wikipedia.org/wiki/Rio_Bonito
3304409;https://pt.wikipedia.org/wiki/Rio_Claro_(Rio_de_Janeiro)
3304508;https://pt.wikipedia.org/wiki/Rio_das_Flores
3304524;https://pt.wikipedia.org/wiki/Rio_das_Ostras
3304557;https://pt.wikipedia.org/wiki/Rio_de_Janeiro
3304607;https://pt.wikipedia.org/wiki/Santa_Maria_Madalena_(Rio_de_Janeiro)
3304706;https://pt.wikipedia.org/wiki/Santo_Ant%C3%B4nio_de_P%C3%A1dua_(Rio_de_Janeiro)
3304805;https://pt.wikipedia.org/wiki/S%C3%A3o_Fid%C3%A9lis
3304755;https://pt.wikipedia.org/wiki/S%C3%A3o_Francisco_de_Itabapoana
3304904;https://pt.wikipedia.org/wiki/S%C3%A3o_Gon%C3%A7alo_(Rio_de_Janeiro)
3305000;https://pt.wikipedia.org/wiki/S%C3%A3o_Jo%C3%A3o_da_Barra
3305109;https://pt.wikipedia.org/wiki/S%C3%A3o_Jo%C3%A3o_de_Meriti
3305133;https://pt.wikipedia.org/wiki/S%C3%A3o_Jos%C3%A9_de_Ub%C3%A1
3305158;https://pt.wikipedia.org/wiki/S%C3%A3o_Jos%C3%A9_do_Vale_do_Rio_Preto
3305208;https://pt.wikipedia.org/wiki/S%C3%A3o_Pedro_da_Aldeia
3305307;https://pt.wikipedia.org/wiki/S%C3%A3o_Sebasti%C3%A3o_do_Alto
3305406;https://pt.wikipedia.org/wiki/Sapucaia_(Rio_de_Janeiro)
3305505;https://pt.wikipedia.org/wiki/Saquarema
3305554;https://pt.wikipedia.org/wiki/Serop%C3%A9dica
3305604;https://pt.wikipedia.org/wiki/Silva_Jardim
3305703;https://pt.wikipedia.org/wiki/Sumidouro_(Rio_de_Janeiro)
3305752;https://pt.wikipedia.org/wiki/Tangu%C3%A1
3305802;https://pt.wikipedia.org/wiki/Teres%C3%B3polis
3305901;https://pt.wikipedia.org/wiki/Trajano_de_Moraes
3306008;https://pt.wikipedia.org/wiki/Tr%C3%AAs_Rios
3306107;https://pt.wikipedia.org/wiki/Valen%C3%A7a_(Rio_de_Janeiro)
3306156;https://pt.wikipedia.org/wiki/Varre-Sai
3306206;https://pt.wikipedia.org/wiki/Vassouras
3306305;https://pt.wikipedia.org/wiki/Volta_Redonda
